ReefID,thermal_reef_id,event_year,ann_maxdhw,history_years,dhw10_sum,dhw10_mean,dhw10_max,dhw10_n4,dhw10_n6,dhw_novel_excess,dhw_ratio_prior_max
15-024,15-024,2016,6.7700000000000005,10,6.298571428,0.6298571428,1.687142857,0,0,5.082857143,4.012701101101838
16-028,16-028,2016,2.62,10,6.6,0.66,1.5,0,0,1.12,1.7466666666666668
16-054a,16-054,2016,3.15,10,9.88857142857143,0.9888571428571429,2.335714285714286,0,0,0.8142857142857141,1.348623853211009
18-032,18-032,2016,2.5,10,10.87,1.087,3.05,0,0,0,0.819672131147541
18-051,18-051,2016,4.05,10,8.46,0.846,2.25,0,0,1.7999999999999998,1.7999999999999998
18-065,18-065,2016,3.33,10,8.91,0.891,2.42,0,0,0.9100000000000001,1.3760330578512396
21-025,21-025,2017,4.87,10,5.775,0.5775,1.915,0,0,2.955,2.5430809399477807
23-080,23-080,2017,3.62,10,2.6425,0.26425,0.9825,0,0,2.6375,3.6844783715012723
23-081,23-081,2017,3.48,10,2.5900000000000003,0.259,0.873333333,0,0,2.606666667,3.984732825948371
11-016,11-016,2020,9.91,10,32.225,3.2225,12.795,1,1,0,0.7745212973817898
11-029,11-029,2020,9.9,10,31.515,3.1515,13.07,1,1,0,0.7574598316755929
11-049,11-049,2020,10.27,10,31.83,3.183,12.325,2,1,0,0.8332657200811359
11-162,11-162,2020,10.15,10,29.960000001,2.9960000001,11.5,2,1,0,0.8826086956521739
14-143,14-143,2020,6.57,10,26.355,2.6355,8.855,2,2,0,0.7419536984754376
18-051,18-051,2020,8.97,10,19.83,1.9829999999999999,8.52,2,1,0.45000000000000107,1.0528169014084507
18-065,18-065,2020,8.18,10,20.130000000000003,2.013,8.71,1,1,0,0.9391504018369689
19-207,19-207,2020,5.84,10,8.663333334,0.8663333334,3.34,0,0,2.5,1.748502994011976
21-305,21-305,2020,4.61,10,3.5100000000000002,0.35100000000000003,1.79,0,0,2.8200000000000003,2.575418994413408
21-556,21-556,2020,6.8,10,3.5100000000000002,0.35100000000000003,1.29,0,0,5.51,5.271317829457364
11-016,11-016,2022,6.72,10,41.17,4.117,12.795,3,3,0,0.5252051582649472
11-029,11-029,2022,6.55,10,40.125,4.0125,13.07,3,2,0,0.5011476664116297
11-049,11-049,2022,5.8100000000000005,10,41.64,4.164,12.325,4,2,0,0.4713995943204869
14-087,14-087,2022,3.63,10,33.03,3.303,11.54,3,2,0,0.3145580589254766
14-143,14-143,2022,4.36,10,32.5,3.25,8.855,3,3,0,0.492377188029362
17-063a,17-063,2022,5.1000000000000005,10,21.580000000000002,2.158,8.16,2,1,0,0.625
11-016,11-016,2024,5.43,10,46.975,4.6975,12.795,4,4,0,0.42438452520515824
11-029,11-029,2024,5.4,10,45.865,4.5865,13.07,4,3,0,0.4131599081866871
14-087,14-087,2024,6.91,10,36.45,3.645,11.54,3,2,0,0.598786828422877
14-143,14-143,2024,6.23,10,36.745,3.6745,8.855,4,3,0,0.7035573122529645
15-024,15-024,2024,4.58,10,24.207142858,2.4207142858,7.008571429,2,2,0,0.6534855278850294
