programme_key,learner,composition,prop_acropora_pre,observed_pre_cover,ann_maxdhw,occurrence,positive,mortality,q05,q95,outside_tree_support,observed_dhw_max
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,12.25,0.8516600960215985,0.37278483483919894,0.2922285600660686,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,12.5,0.8528218042554088,0.37739300226436223,0.2963521328224549,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,12.75,0.8539392549698581,0.3818849423755491,0.3003818133960461,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,13,0.8550136688388619,0.386256447613345,0.3043133180887481,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,13.25,0.8560462792750182,0.39050438292139705,0.30814325875103415,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,13.5,0.857038326092052,0.3946266013166963,0.31186908355453474,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,13.75,0.857991049833673,0.39862185422623897,0.3154890115412219,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,14,0.8589056867333218,0.4024896999954922,0.3190019638667994,NA,NA,NA,NA
ltmp,benchmark_ensemble,Low Acropora,0.1,0.2277634256800129,0,0.4686461178549088,0.13326204894761903,0.03621383250188257,NA,NA,NA,NA
ltmp,benchmark_ensemble,Low Acropora,0.1,0.2277634256800129,0.25,0.4697526287964895,0.13153578591076154,0.03603215788518369,NA,NA,NA,NA
ltmp,benchmark_ensemble,Low Acropora,0.1,0.2277634256800129,0.5,0.4709062170047985,0.1298433246784425,0.03586211228530706,NA,NA,NA,NA
ltmp,benchmark_ensemble,Low Acropora,0.1,0.2277634256800129,0.75,0.47210835363720816,0.12818263658455198,0.035703271164758396,NA,NA,NA,NA
