programme_key,source_observation_id,ReefID,ReefName,event_year,ann_maxdhw,observed_mortality,Standard two-part BRT,Conservative tail ensemble,standard_absolute_error,conservative_absolute_error,error_reduction
mmp,4157907,17-012,Normanby-Mabel Reef (17-012),2017,10.66,0.06087220807229999,0.14551372803492515,0.14885513119627172,0.08464151996262517,0.08798292312397174,-0.003341403161346568
manta,4068328,16-030,Norman Reef (16-030),2020,8.19,0,0.01632008400805226,0.01976551000659274,0.01632008400805226,0.01976551000659274,-0.0034454259985404814
manta,1273616,15-085,Lena Reef (15-085),2022,3.3200000000000003,0,0.01352610070772254,0.01702232019266304,0.01352610070772254,0.01702232019266304,-0.0034962194849404993
ltmp,4184760,14-087,Snake Reef (14-087),2022,3.63,0.0158806264351468,0.02048104345399965,0.02401454870356147,0.004600417018852852,0.00813392226841467,-0.0035335052495618184
ltmp,4223666,20-351b,Pompey Reef (No 2) (20-351b),2024,8.63,0,0.07271058907295348,0.07625037869567815,0.07271058907295348,0.07625037869567815,-0.003539789622724665
ltmp,4176752,15-099c,Agincourt Reefs (No 1) (15-099c),2020,7.74,0,0.02102650787199803,0.02458864529223605,0.02102650787199803,0.02458864529223605,-0.0035621374202380214
manta,4206429,15-099c,Agincourt Reefs (No 1) (15-099c),2020,7.74,0,0.02902269669366516,0.0325940921644944,0.02902269669366516,0.0325940921644944,-0.0035713954708292417
manta,4067674,19-131a,U/N Reef (19-131a),2024,5.82,0.02128026046641708,0.01956035079502595,0.02662014823654618,0.0017199096713911323,0.005339887770129101,-0.0036199780987379686
mmp,4148236,18-065,Havannah Reef (18-065),2024,6.92,0,0.02731651858466036,0.03096104211227882,0.02731651858466036,0.03096104211227882,-0.0036445235276184595
ltmp,4242160,13-124,U/N Reef (13-124),2024,7.65,0,0.18876960680840735,0.1924187818398106,0.18876960680840735,0.1924187818398106,-0.0036491750314032456
ltmp,4237697,18-086,Chicken Reef (18-086),2017,5.89,0,0.17508341782957898,0.17874363511671928,0.17508341782957898,0.17874363511671928,-0.003660217287140305
manta,4066113,18-034,Myrmidon Reef (18-034),2024,8.73,0.06268897611282381,0.21115046759053252,0.21484964419394817,0.1484614914777087,0.15216066808112436,-0.0036991766034156492
ltmp,4237698,18-086,Chicken Reef (18-086),2017,5.89,0,0.16820735768482237,0.17191558018580588,0.16820735768482237,0.17191558018580588,-0.0037082225009835157
ltmp,4175201,14-126,Linnet Reef (14-126),2022,5.14,0,0.09068950992982124,0.09442152316519437,0.09068950992982124,0.09442152316519437,-0.00373201323537313
manta,4284702,21-562,Turner Reef (21-562),2020,6,0,0.01270057875889018,0.0164727622018646,0.01270057875889018,0.0164727622018646,-0.0037721834429744194
mmp,4167104,17-053,Stingaree Reefs (17-053),2017,7.390000000000001,0,0.18803140952703665,0.19189376924303275,0.18803140952703665,0.19189376924303275,-0.0038623597159961054
manta,4284635,22-102,Chinaman Reef (22-102),2024,9.41,0,0.03334157041610829,0.03723001132620682,0.03334157041610829,0.03723001132620682,-0.003888440910098531
mmp,4157887,17-013,Round-Russell Reef (17-013),2017,10.66,0.18580387067146528,0.24720630759256124,0.2511122013935789,0.061402436921095954,0.06530833072211364,-0.0039058938010176902
ltmp,4223356,21-591,U/N Reef (21-591),2024,8.13,0,0.04038270807005234,0.04429299751060488,0.04038270807005234,0.04429299751060488,-0.003910289440552536
ltmp,3752581,17-064,Taylor Reef (17-064),2024,4.45,0,0.00666906884194067,0.01060984052011234,0.00666906884194067,0.01060984052011234,-0.003940771678171669
ltmp,4240950,11-029,Monsoon Reef (11-029),2020,9.9,0,6.722035400123093e-5,0.00402200459167162,6.722035400123093e-5,0.00402200459167162,-0.003954784237670389
mmp,4164907,17-009a,Tobias Spit (17-009a),2017,11.03,0.2341486231112693,0.36000034002787157,0.3639786294179753,0.12585171691660227,0.12983000630670602,-0.003978289390103751
ltmp,4241130,11-016,McSweeney Reef (11-016),2020,9.91,0,0.0017891007947468,0.00581300072181449,0.0017891007947468,0.00581300072181449,-0.00402389992706769
manta,4067305,21-064,U/N Reef (21-064),2024,8.82,0,0.14931893719949313,0.15334304905284626,0.14931893719949313,0.15334304905284626,-0.004024111853353135
manta,4066960,17-063a,Farquharson Reef (No 1) (17-063a),2024,4.91,0,0.04307199881640504,0.04710340799006564,0.04307199881640504,0.04710340799006564,-0.0040314091736605995
mmp,4157923,17-013,Round-Russell Reef (17-013),2017,10.66,0.14352290229950315,0.17800456138865622,0.18218710702234112,0.03448165908915307,0.038664204722837964,-0.004182545633684892
